2.6,-2.8,-5.8,-2,9.4,17.5,24.5,20.9,22.9,23.1,31.6,7.7,-2.8,-7.4,-14.4,-0.4,-1.8,0.3,2.1,4.3
-2,-7.6,-12.7,-7.2,7.1,9.6,20.9,24.1,27.7,29.8,43.3,8.3,-6.5,-9.5,-19.3,-2.1,-16.2,-6.3,-0.1,8
-5.5,-12.3,-18.2,-11.9,4.2,7.6,21.9,25.3,27,25.4,37.7,11.4,-3.2,-2.7,-12.6,-1.2,-19.3,-7.9,-0.5,9.3
11.6,11.3,15.5,15.6,17.6,17.7,12.6,16,45.1,106.3,174,-6.1,-29.2,-52.9,-66.1,-10.1,-1.8,0.2,3,3.4
12.9,25,27.3,21.6,28.4,27.6,22.8,24.7,3.9,0.3,-1.3,-1.1,10.1,-1.2,5.3,10.1,-0.5,3.3,-2.5,1.3
7.4,9.7,4.4,7.6,2.7,1.5,0.7,1.9,8,11,34.3,4.8,5.4,-7.1,-15.5,-1.5,4.7,10.5,5.3,11.8
3,-2.7,-4.7,-1.5,10.9,21.7,27.9,21.9,22.8,21.6,25.7,7.3,-2.2,-6.8,-10.8,0.3,3.4,2.5,3.6,3.9
